"total energy supply in United States",Value,Year,Units
"Nuclear",8767293,2022, TJ
"Nuclear",8815373,2023, TJ
"Nuclear",8896952,2024, TJ
"Hydropower",911534,2000, TJ
"Hydropower",677707,2001, TJ
"Hydropower",961322,2002, TJ
"Hydropower",1002992,2003, TJ
"Hydropower",976024,2004, TJ
"Hydropower",980802,2005, TJ
"Hydropower",1050728,2006, TJ
"Hydropower",898628,2007, TJ
"Hydropower",924170,2008, TJ
"Hydropower",992123,2009, TJ
"Hydropower",944157,2010, TJ
"Hydropower",1158238,2011, TJ
"Hydropower",1002639,2012, TJ
"Hydropower",975081,2013, TJ
"Hydropower",941302,2014, TJ
"Hydropower",903664,2015, TJ
"Hydropower",970812,2016, TJ
"Hydropower",1088504,2017, TJ
"Hydropower",1063803,2018, TJ
"Hydropower",1043274,2019, TJ
"Hydropower",1033702,2020, TJ
"Hydropower",912523,2021, TJ
"Hydropower",923764,2022, TJ
"Hydropower",888324,2023, TJ
"Hydropower",878518,2024, TJ
"Solar, wind and other renewables",634960,2000, TJ
"Solar, wind and other renewables",627906,2001, TJ
"Solar, wind and other renewables",446598,2002, TJ
"Solar, wind and other renewables",451752,2003, TJ
"Solar, wind and other renewables",471631,2004, TJ
"Solar, wind and other renewables",484986,2005, TJ
"Solar, wind and other renewables",519139,2006, TJ
"Solar, wind and other renewables",557795,2007, TJ
"Solar, wind and other renewables",609691,2008, TJ
"Solar, wind and other renewables",680076,2009, TJ
"Solar, wind and other renewables",794291,2010, TJ
"Solar, wind and other renewables",903279,2011, TJ
"Solar, wind and other renewables",1002118,2012, TJ
"Solar, wind and other renewables",1132316,2013, TJ
"Solar, wind and other renewables",1236979,2014, TJ
"Solar, wind and other renewables",1312775,2015, TJ
"Solar, wind and other renewables",1491265,2016, TJ
"Solar, wind and other renewables",1661988,2017, TJ
"Solar, wind and other renewables",1841813,2018, TJ
"Solar, wind and other renewables",1934725,2019, TJ
"Solar, wind and other renewables",2180848,2020, TJ
"Solar, wind and other renewables",2455808,2021, TJ
"Solar, wind and other renewables",2798738,2022, TJ
"Solar, wind and other renewables",2879840,2023, TJ
"Solar, wind and other renewables",3144774,2024, TJ
"Biofuels and waste",3066641,2000, TJ
"Biofuels and waste",2719607,2001, TJ
"Biofuels and waste",2720174,2002, TJ
"Biofuels and waste",2916938,2003, TJ
"Biofuels and waste",3044542,2004, TJ
"Biofuels and waste",3173311,2005, TJ
"Biofuels and waste",3280742,2006, TJ
"Biofuels and waste",3378288,2007, TJ
"Biofuels and waste",3537899,2008, TJ
"Biofuels and waste",3509141,2009, TJ
"Biofuels and waste",3747051,2010, TJ
"Biofuels and waste",3836841,2011, TJ
"Biofuels and waste",3885775,2012, TJ
"Biofuels and waste",4183326,2013, TJ
"Biofuels and waste",4292757,2014, TJ
"Biofuels and waste",4183390,2015, TJ
"Biofuels and waste",4152602,2016, TJ
"Biofuels and waste",4126342,2017, TJ
"Biofuels and waste",4393036,2018, TJ
"Biofuels and waste",4445624,2019, TJ
"Biofuels and waste",4108850,2020, TJ
"Biofuels and waste",4383684,2021, TJ
"Biofuels and waste",4395527,2022, TJ
"Biofuels and waste",4702816,2023, TJ
"Biofuels and waste",4458288,2024, TJ
